dataset,n_poses,n_edges,n_outliers_truth,n_robots,Explicit_outer_iters,Explicit_inner_iters_total,Explicit_wall_s,Explicit_precompute_s,Explicit_inner_cost,Explicit_robust_cost,Explicit_ate_global_rmse_m,Explicit_ate_per_robot_mean_m,ExpVP_outer_iters,ExpVP_inner_iters_total,ExpVP_wall_s,ExpVP_precompute_s,ExpVP_inner_cost,ExpVP_robust_cost,ExpVP_ate_global_rmse_m,ExpVP_ate_per_robot_mean_m,Implicit_outer_iters,Implicit_inner_iters_total,Implicit_wall_s,Implicit_precompute_s,Implicit_inner_cost,Implicit_robust_cost,Implicit_ate_global_rmse_m,Implicit_ate_per_robot_mean_m
finals,613,2072,314,4,20,190,3.1646,0.000489,1273.4900,11506.4000,4.5645,2.6031,20,133,3.0949,0.000606,1273.3600,11505.8000,4.5898,2.6157,20,100,0.5532,0.000543,1273.3900,11505.8000,4.5572,2.5995
kentucky_underground,3153,4034,121,4,20,3657,309.2180,0.000966,255.9500,750.4970,52.4083,3.6984,20,1658,137.6250,0.000953,255.0990,748.7580,25.2886,3.0831,20,95,4.1116,0.000952,254.8390,748.2280,1.2071,0.7490
kittredge_loop_proradio,3410,6696,665,4,20,235,43.3713,0.004475,3068.7500,24089.3000,5.5147,4.9012,20,143,22.0892,0.004389,3068.7500,24089.3000,5.5149,4.9014,20,97,4.5024,0.005309,3068.7500,24089.3000,5.5150,4.9015
kittredge_loop_wifi,3410,6786,647,4,20,249,39.1410,0.004413,2947.7300,23206.5000,5.9329,5.2087,20,149,20.5146,0.004017,2947.7200,23206.5000,5.9328,5.2089,20,100,3.9095,0.004100,2947.7200,23206.5000,5.9328,5.2089
kth_r3_00_d06_d09_d10_proradio,1604,2805,118,3,20,612,46.5541,0.001089,1738.8400,7108.4100,1.0997,0.9025,20,575,44.3092,0.001126,1738.8400,7108.4100,1.1014,0.9035,20,94,1.6637,0.000930,1738.7700,7108.3800,1.1115,0.9087
kth_r3_00_d06_d09_d10_wifi,1604,2263,72,3,20,651,28.6100,0.000827,1084.2500,4379.9200,1.7741,1.4255,20,625,27.9416,0.000826,1084.2400,4379.9200,1.7723,1.4238,20,95,1.2825,0.000790,1084.2200,4379.9100,1.7699,1.4221
kth_r3_01_n01_n04_n05_proradio,1609,2607,94,3,20,1075,77.0518,0.000986,1195.6200,5140.4000,1.3924,1.0806,20,1644,128.6430,0.000975,1195.6200,5140.4000,1.3930,1.0808,20,129,2.5546,0.001057,1195.6200,5140.4000,1.3937,1.0809
kth_r3_01_n01_n04_n05_wifi,1609,2260,81,3,20,2023,92.9163,0.000785,818.6990,3952.2400,1.4569,1.1138,20,2156,100.2680,0.000771,818.6910,3952.2400,1.4549,1.1122,20,149,2.2217,0.000771,818.6740,3952.2300,1.5316,1.1549
kth_r4_00_d06_d10_n04_n05_proradio,2036,3397,141,4,20,1407,138.9090,0.001253,1825.0000,8599.5300,4.0291,3.0125,20,1227,121.7970,0.001213,1847.8500,8050.2700,1.2004,0.8488,19,128,3.0786,0.001295,1854.8400,8015.3900,1.1411,0.8843
kth_r4_00_d06_d10_n04_n05_wifi,2036,3196,135,4,20,979,92.9916,0.001107,1579.4100,7175.3700,1.1782,0.9178,20,743,71.6094,0.001261,1579.4100,7175.3700,1.1788,0.9180,20,143,3.6579,0.001292,1579.4200,7175.3800,1.1821,0.9190
