task,dataset,ours_time_s,original_time_s,orig_vp_time_s,ours_iters,original_iters,orig_vp_iters,speedup_original_over_ours,speedup_orig_vp_over_ours
PGO,Intel,0.07,0.30,0.17,20.00,59.00,22.00,4.43,2.58
PGO,Garage,4.72,,,215.00,,,,
PGO,Grid3D,2.65,7.38,4.35,16.00,32.00,19.00,2.79,1.64
PGO,MIT,0.04,0.13,0.06,18.00,40.00,23.00,3.56,1.55
PGO,M3500,0.30,4.31,1.79,33.00,157.00,49.00,14.20,5.89
PGO,City10000,1.58,9.97,5.42,29.00,91.00,38.00,6.32,3.44
PGO,Torus,0.29,0.68,0.72,12.00,21.00,21.00,2.33,2.48
PGO,Sphere,0.29,0.71,0.59,18.00,33.00,23.00,2.50,2.05
RA-SLAM,TIERS,3.41,5.36,4.99,67.00,126.00,75.00,1.57,1.46
RA-SLAM,Single Drone,0.21,1.38,0.62,35.00,137.00,36.00,6.50,2.91
RA-SLAM,Plaza2,0.48,0.69,0.47,35.00,61.00,33.00,1.44,0.97
RA-SLAM,Plaza1,2.78,3.65,2.87,65.00,105.00,57.00,1.31,1.03
SfM,BAL-93,0.11,2.06,0.71,23.00,125.00,17.00,19.10,6.54
SfM,BAL-392,1.47,55.03,14.49,26.00,192.00,21.00,37.32,9.83
SfM,BAL-1934,24.70,,218.64,27.00,,24.00,,8.85
SfM,IMC Gate,19.19,,247.42,34.00,,33.00,,12.89
SfM,IMC Temple,10.76,,62.79,33.00,,18.00,,5.83
SfM,IMC Rome,32.93,,288.87,36.00,,25.00,,8.77
SfM,Rep. Office0-100,1.33,4.79,2.11,58.00,110.00,30.00,3.60,1.59
SfM,Rep. Office1-100,0.79,1.84,1.35,63.00,90.00,38.00,2.35,1.72
SfM,Rep. Room0-100,1.41,5.33,3.67,37.00,89.00,32.00,3.78,2.61
SfM,Rep. Room1-100,1.30,7.74,2.91,41.00,144.00,27.00,5.97,2.25
SfM,Mip-NeRF Garden,0.81,5.55,2.89,25.00,125.00,22.00,6.82,3.55
SfM,Mip-NeRF Room,4.27,,28.49,38.00,,43.00,,6.67
SfM,Mip-NeRF Kitchen,6.54,61.86,37.86,30.00,161.00,42.00,9.46,5.79
SfM,TUM Room,13.03,,64.59,42.00,,38.00,,4.96
SfM,TUM Desk,6.55,51.48,25.70,36.00,227.00,32.00,7.86,3.93
SfM,TUM Comp-R,9.10,98.45,37.77,44.00,245.00,32.00,10.82,4.15
SfM,TUM Comp-T,16.63,173.05,69.25,37.00,219.00,33.00,10.41,4.16
