VERTEX_POINT L0 0.177280 -0.385084 -0.535477
VERTEX_POINT L1 0.314608 -0.105933 0.168977
VERTEX_POINT L2 0.717353 -0.547787 -0.511175
VERTEX_POINT L3 -0.120880 -0.624934 -0.695220
VERTEX_POINT L4 0.847940 -0.447531 0.464297
VERTEX_POINT L5 -0.203127 0.112888 -0.749050
VERTEX_POINT L6 0.629534 -0.166997 0.586941
VERTEX_POINT L7 0.368437 -0.660786 -0.671796
VERTEX_POINT L8 0.821944 0.813608 0.490143
VERTEX_BEARING L0 L1 0.427542 -0.039848 -0.903117
VERTEX_BEARING L1 L2 -0.579581 -0.493083 -0.648811
VERTEX_BEARING L2 L3 -0.131858 0.991218 -0.010030
VERTEX_BEARING L3 L4 0.609536 0.673770 0.417731
VERTEX_BEARING L4 L5 0.481471 -0.515312 0.708970
VERTEX_BEARING L5 L6 -0.281514 0.632280 0.721784
VERTEX_BEARING L6 L7 -0.759393 0.395288 0.516789
VERTEX_BEARING L7 L8 0.945713 -0.163592 -0.280829
VERTEX_BEARING L1 L8 -0.475392 0.379947 0.793500
VERTEX_BEARING L3 L6 0.590214 -0.692247 -0.415260
VERTEX_BEARING L7 L2 0.791580 0.495968 -0.356955
