VERTEX_POINT L0 -0.716751 -0.102812 0.000000
VERTEX_POINT L1 -0.216561 -0.704378 0.000000
VERTEX_POINT L2 -0.639221 0.289036 0.000000
VERTEX_POINT L3 0.324719 0.162514 50349352781686278567737734105498140188045920738657792019856617792456146207988431683790206123502941830987744340809726738828991082008653628387774603249437477630120516507494514688.000000
VERTEX_POINT L4 0.982250 0.095014 0.000000
VERTEX_POINT L5 -0.596417 0.153915 0.000000
VERTEX_POINT L6 -0.873806 -0.269031 0.000000
VERTEX_POINT L7 -0.787817 -0.345264 0.000000
VERTEX_POINT L8 -0.107899 0.991927 0.000000
VERTEX_BEARING L0 L1 -0.689708 -0.716751 -0.102812
VERTEX_BEARING L1 L2 0.675984 -0.216561 -0.704378
VERTEX_BEARING L2 L3 0.712640 -0.639221 0.289036
VERTEX_BEARING L3 L4 -0.931744 0.324719 0.162514
VERTEX_BEARING L4 L5 -0.161735 0.982250 0.095014
VERTEX_BEARING L5 L6 0.787779 -0.596417 0.153915
VERTEX_BEARING L6 L7 0.405074 -0.873806 -0.269031
VERTEX_BEARING L7 L8 -0.510037 -0.787817 -0.345264
VERTEX_BEARING L1 L8 -0.066616 -0.107899 0.991927
VERTEX_BEARING L3 L6 0.791644 0.608870 -0.050760
VERTEX_BEARING L7 L2 -0.728387 0.344528 -0.592244
