VERTEX_POINT L0 0.519470 -0.855342 0.755228
VERTEX_POINT L1 -0.813039 -0.991677 0.495619
VERTEX_POINT L2 -0.730195 0.846138 0.257820
VERTEX_POINT L3 0.040420 0.187784 -0.929158
VERTEX_POINT L4 -0.843536 -0.639255 0.495606
VERTEX_POINT L5 -0.860187 -0.673737 0.666477
VERTEX_POINT L6 -0.590690 -0.216620 0.850753
VERTEX_POINT L7 -0.077159 0.826053 0.746543
VERTEX_POINT L8 0.639355 0.639390 0.662075
VERTEX_BEARING L0 L1 -0.936844 0.161440 -0.310258
VERTEX_BEARING L1 L2 0.865153 0.491257 0.100882
VERTEX_BEARING L2 L3 -0.701146 -0.702071 0.124460
VERTEX_BEARING L3 L4 0.062297 -0.988609 -0.137010
VERTEX_BEARING L4 L5 -0.518513 0.800685 0.300080
VERTEX_BEARING L5 L6 -0.462938 -0.526578 -0.713024
VERTEX_BEARING L6 L7 0.605738 0.793192 0.062665
VERTEX_BEARING L7 L8 0.455745 -0.733668 0.504012
VERTEX_BEARING L1 L8 0.280917 0.893186 -0.351147
VERTEX_BEARING L3 L6 0.575501 -0.549075 0.606065
VERTEX_BEARING L7 L2 0.345770 0.918707 0.190840
