VERTEX_POINT L0 -0.503912 -0.098165 0.275280
VERTEX_POINT L1 0.258959 -0.327298 -0.305768
VERTEX_POINT L2 -0.541726 0.695369 -0.630755
VERTEX_POINT L3 0.401240 -0.130973 0.218212
VERTEX_POINT L4 -0.366266 -0.993537 0.254316
VERTEX_POINT L5 -0.342446 -0.310114 0.461459
VERTEX_POINT L6 -0.537144 0.196963 -0.343251
VERTEX_POINT L7 -0.851678 0.666487 0.480877
VERTEX_POINT L8 0.266144 -0.532217 -0.595574
VERTEX_BEARING L0 L1 0.825856 -0.476020 0.302269
VERTEX_BEARING L1 L2 0.848454 0.525934 -0.059332
VERTEX_BEARING L2 L3 0.998649 0.026456 -0.044723
VERTEX_BEARING L3 L4 0.687918 0.670663 -0.277452
VERTEX_BEARING L4 L5 0.479328 -0.631783 0.609176
VERTEX_BEARING L5 L6 -0.008546 0.143731 -0.989580
VERTEX_BEARING L6 L7 -0.801356 0.522903 0.290518
VERTEX_BEARING L7 L8 0.481748 -0.564530 -0.670242
VERTEX_BEARING L1 L8 0.973916 -0.071405 -0.215382
VERTEX_BEARING L3 L6 -0.889982 0.194699 0.412340
VERTEX_BEARING L7 L2 0.299363 0.888486 0.347814
