VERTEX_POINT L0 0.244191 -0.469077 -0.727851
VERTEX_POINT L1 0.673656 0.317493 -0.178424
VERTEX_POINT L2 0.636255 0.523556 -0.989183
VERTEX_POINT L3 -0.007851 -0.025146 0.566564
VERTEX_POINT L4 -0.330057 -0.685456 0.548772
VERTEX_POINT L5 -0.211346 0.766073 -0.412644
VERTEX_POINT L6 0.317662 0.251331 -0.770664
VERTEX_POINT L7 0.217766 0.035429 0.731070
VERTEX_POINT L8 -0.482188 -0.584313 0.442012
VERTEX_BEARING L0 L1 0.691238 -0.712982 0.117670
VERTEX_BEARING L1 L2 0.459235 -0.875364 -0.151133
VERTEX_BEARING L2 L3 -0.531766 -0.648036 0.545229
VERTEX_BEARING L3 L4 -0.837822 0.443591 -0.318247
VERTEX_BEARING L4 L5 -0.005088 -0.470697 -0.882280
VERTEX_BEARING L5 L6 -0.810161 -0.452910 -0.372172
VERTEX_BEARING L6 L7 -0.785866 -0.366286 0.498246
VERTEX_BEARING L7 L8 -0.307586 -0.901112 0.305595
VERTEX_BEARING L1 L8 -0.336507 -0.139587 0.931278
VERTEX_BEARING L3 L6 0.681623 0.685725 -0.255287
VERTEX_BEARING L7 L2 0.709045 0.145061 0.690082
