VERTEX_POINT L0 0.423784 0.693147 0.000000
VERTEX_POINT L1 -0.610854 0.662460 0.000000
VERTEX_POINT L2 0.365113 -0.616918 0.000000
VERTEX_POINT L3 -0.598959 -0.781867 0.262483
VERTEX_POINT L4 0.868774 -0.285658 -0.446185
VERTEX_POINT L5 0.696970 0.289305 0.778457
VERTEX_POINT L6 0.677527 0.412415 -0.606032
VERTEX_POINT L7 -0.731757 0.502108 -0.317997
VERTEX_POINT L8 0.085156 -0.554448 -0.708346
VERTEX_BEARING L0 L1 -0.583055 0.423784 0.693147
VERTEX_BEARING L1 L2 0.433595 -0.610854 0.662460
VERTEX_BEARING L2 L3 -0.697212 0.365113 -0.616918
VERTEX_BEARING L3 L4 -0.173010 -0.598959 -0.781867
VERTEX_BEARING L4 L5 0.404514 0.868774 -0.285658
VERTEX_BEARING L5 L6 0.656152 0.696970 0.289305
VERTEX_BEARING L6 L7 0.608991 0.677527 0.412415
VERTEX_BEARING L7 L8 -0.460890 -0.731757 0.502108
VERTEX_BEARING L1 L8 -0.827850 0.085156 -0.554448
VERTEX_BEARING L3 L6 0.214806 -0.811842 0.542927
VERTEX_BEARING L7 L2 0.369679 -0.696294 -0.615233
