VERTEX_POINT L0 0.600932 -0.611909 0.000000
VERTEX_POINT L1 -0.596232 0.637268 0.000000
VERTEX_POINT L2 0.281064 0.619725 0.000000
VERTEX_POINT L3 -0.183726 0.591468 0.651443
VERTEX_POINT L4 0.642176 -0.004346 -0.611554
VERTEX_POINT L5 0.922823 0.158715 -0.607657
VERTEX_POINT L6 0.671552 -0.544058 -0.131789
VERTEX_POINT L7 0.838876 -0.524044 0.288907
VERTEX_POINT L8 -0.451482 0.555236 0.300538
VERTEX_BEARING L0 L1 -0.514245 0.600932 -0.611909
VERTEX_BEARING L1 L2 -0.488259 -0.596232 0.637268
VERTEX_BEARING L2 L3 0.732765 0.281064 0.619725
VERTEX_BEARING L3 L4 -0.785118 -0.183726 0.591468
VERTEX_BEARING L4 L5 0.766545 0.642176 -0.004346
VERTEX_BEARING L5 L6 -0.351009 0.922823 0.158715
VERTEX_BEARING L6 L7 -0.503010 0.671552 -0.544058
VERTEX_BEARING L7 L8 -0.147192 0.838876 -0.524044
VERTEX_BEARING L1 L8 0.698482 -0.451482 0.555236
VERTEX_BEARING L3 L6 0.818769 0.573931 -0.014856
VERTEX_BEARING L7 L2 0.975102 0.176863 -0.133775
