VERTEX_POINT L0 -0.563149 0.556736 -0.883522
VERTEX_POINT L1 -0.999796 -0.014116 0.000000
VERTEX_POINT L2 -0.005538 -0.619798 0.000000
VERTEX_POINT L3 -0.747470 -0.208552 0.000000
VERTEX_POINT L4 -0.829893 0.364364 0.000000
VERTEX_POINT L5 -0.484088 0.377686 -0.309683
VERTEX_POINT L6 -0.374281 -0.515071 0.000000
VERTEX_POINT L7 0.764919 -0.617698 -0.514245
VERTEX_POINT L8 0.690825 -0.722908 -0.488259
VERTEX_BEARING L0 L1 0.610662 -0.563149 0.556736
VERTEX_BEARING L1 L2 -0.014465 -0.999796 -0.014116
VERTEX_BEARING L2 L3 -0.784742 -0.005538 -0.619798
VERTEX_BEARING L3 L4 -0.630709 -0.747470 -0.208552
VERTEX_BEARING L4 L5 0.422512 -0.829893 0.364364
VERTEX_BEARING L5 L6 0.789312 -0.484088 0.377686
VERTEX_BEARING L6 L7 -0.771113 -0.374281 -0.515071
VERTEX_BEARING L7 L8 0.182614 0.764919 -0.617698
VERTEX_BEARING L1 L8 -0.012816 0.690825 -0.722908
VERTEX_BEARING L3 L6 0.635589 0.229502 -0.737127
VERTEX_BEARING L7 L2 0.520796 0.782238 0.341870
