VERTEX_POINT L0 -0.789030 0.528034 0.000000
VERTEX_POINT L1 0.834323 0.302014 0.000000
VERTEX_POINT L2 0.237784 0.917423 0.000000
VERTEX_POINT L3 0.040257 -0.367593 -0.000017
VERTEX_POINT L4 -0.585849 0.797211 0.000003
VERTEX_POINT L5 0.101039 -0.638819 -0.000043
VERTEX_POINT L6 -0.516843 -0.624773 -0.000002
VERTEX_POINT L7 0.516230 -0.773849 -0.000002
VERTEX_POINT L8 -0.309284 0.829591 -0.000001
VERTEX_BEARING L0 L1 -0.314025 -0.789030 0.528034
VERTEX_BEARING L1 L2 -0.461187 0.834323 0.302014
VERTEX_BEARING L2 L3 -0.319052 0.237784 0.917423
VERTEX_BEARING L3 L4 -0.929115 0.040257 -0.367593
VERTEX_BEARING L4 L5 -0.145727 -0.585849 0.797211
VERTEX_BEARING L5 L6 0.762693 0.101039 -0.638819
VERTEX_BEARING L6 L7 0.585262 -0.516843 -0.624773
VERTEX_BEARING L7 L8 -0.366965 0.516230 -0.773849
VERTEX_BEARING L1 L8 0.464889 -0.309284 0.829591
VERTEX_BEARING L3 L6 0.572359 -0.559011 0.599926
VERTEX_BEARING L7 L2 -0.046536 -0.643961 -0.763641
