VERTEX_POINT L0 0.177280 -0.385084 -0.535477 0.519470
VERTEX_POINT L1 0.314608 -0.105933 0.168977 -0.813039
VERTEX_POINT L2 0.717353 -0.547787 -0.511175 -0.730195
VERTEX_POINT L3 -0.120880 -0.624934 -0.695220 0.040420
VERTEX_POINT L4 0.847940 -0.447531 0.464297 -0.843536
VERTEX_POINT L5 -0.203127 0.112888 -0.749050 -0.860187
VERTEX_POINT L6 0.629534 -0.166997 0.586941 -0.590690
VERTEX_POINT L7 0.368437 -0.660786 -0.671796 -0.077159
VERTEX_POINT L8 0.821944 0.813608 0.490143 0.639355
VERTEX_BEARING L0 L1 0.307147 -0.028627 -0.648801 -0.695628
VERTEX_BEARING L1 L2 -0.456781 -0.388610 -0.511343 0.615518
VERTEX_BEARING L2 L3 -0.093935 0.706140 -0.007145 -0.701777
VERTEX_BEARING L3 L4 0.609172 0.673368 0.417481 0.034561
VERTEX_BEARING L4 L5 0.435145 -0.465730 0.640755 -0.427992
VERTEX_BEARING L5 L6 -0.258496 0.580581 0.662766 -0.396038
VERTEX_BEARING L6 L7 -0.583079 0.303511 0.396802 0.640662
VERTEX_BEARING L7 L8 0.825376 -0.142776 -0.245095 0.488157
VERTEX_BEARING L1 L8 -0.425648 0.340190 0.710468 0.445342
VERTEX_BEARING L3 L6 0.330766 -0.387948 -0.232719 0.828210
VERTEX_BEARING L7 L2 0.769400 0.482071 -0.346953 0.235064
