VERTEX_POINT L0 0.362528 -0.726212 0.028134 0.000000
VERTEX_POINT L1 -0.076760 0.671971 -0.177753 0.000000
VERTEX_POINT L2 -0.166537 0.209306 -0.732219 0.000000
VERTEX_POINT L3 0.386037 -0.724654 -0.118672 0.000000
VERTEX_POINT L4 -0.331731 0.317235 -0.640477 0.000000
VERTEX_POINT L5 0.205430 0.059048 -0.391990 0.000000
VERTEX_POINT L6 -0.748219 -0.379457 -0.133946 0.000000
VERTEX_POINT L7 -0.474414 0.502158 -0.560328 0.000000
VERTEX_POINT L8 -0.209012 0.459482 0.256610 -0.259166
VERTEX_BEARING L0 L1 0.583437 0.362528 -0.726212 0.028134
VERTEX_BEARING L1 L2 -0.714819 -0.076760 0.671971 -0.177753
VERTEX_BEARING L2 L3 0.626348 -0.166537 0.209306 -0.732219
VERTEX_BEARING L3 L4 -0.558362 0.386037 -0.724654 -0.118672
VERTEX_BEARING L4 L5 -0.615715 -0.331731 0.317235 -0.640477
VERTEX_BEARING L5 L6 0.894794 0.205430 0.059048 -0.391990
VERTEX_BEARING L6 L7 0.527484 -0.748219 -0.379457 -0.133946
VERTEX_BEARING L7 L8 -0.456948 -0.474414 0.502158 -0.560328
VERTEX_BEARING L1 L8 0.824222 -0.209012 0.459482 0.256610
VERTEX_BEARING L3 L6 0.472692 -0.497021 -0.517378 -0.511716
VERTEX_BEARING L7 L2 -0.307636 0.310388 -0.896416 -0.073872
