VERTEX_POINT L0 -0.855342 0.755228 -0.503912 -0.098165
VERTEX_POINT L1 -0.991677 0.495619 0.258959 -0.327298
VERTEX_POINT L2 0.846138 0.257820 -0.541726 0.695369
VERTEX_POINT L3 0.187784 -0.929158 0.401240 -0.130973
VERTEX_POINT L4 -0.639255 0.495606 -0.366266 -0.993537
VERTEX_POINT L5 -0.673737 0.666477 -0.342446 -0.310114
VERTEX_POINT L6 -0.216620 0.850753 -0.537144 0.196963
VERTEX_POINT L7 0.826053 0.746543 -0.851678 0.666487
VERTEX_POINT L8 0.639390 0.662075 0.266144 -0.532217
VERTEX_BEARING L0 L1 0.127351 -0.244745 0.832757 -0.479997
VERTEX_BEARING L1 L2 0.659114 0.135353 0.628762 0.389753
VERTEX_BEARING L2 L3 -0.736721 0.130602 0.663232 0.017570
VERTEX_BEARING L3 L4 -0.451079 -0.062515 0.637476 0.621486
VERTEX_BEARING L4 L5 0.831778 0.311734 0.277618 -0.365917
VERTEX_BEARING L5 L6 -0.591529 -0.800971 -0.005485 0.092243
VERTEX_BEARING L6 L7 0.695894 0.054978 -0.599665 0.391295
VERTEX_BEARING L7 L8 -0.549279 0.377341 0.483987 -0.567153
VERTEX_BEARING L1 L8 0.752001 -0.295642 0.587566 -0.043079
VERTEX_BEARING L3 L6 -0.562437 0.620815 -0.533508 0.116714
VERTEX_BEARING L7 L2 0.614963 0.127744 0.248460 0.737408
