VERTEX_POINT L0 0.275280 -0.276798 0.371572 0.697884
VERTEX_POINT L1 -0.305768 0.153381 -0.232336 -0.008045
VERTEX_POINT L2 -0.630755 0.186423 0.548547 -0.417893
VERTEX_POINT L3 0.218212 0.333113 0.886103 -0.639158
VERTEX_POINT L4 0.254316 -0.422444 0.832546 0.368357
VERTEX_POINT L5 0.461459 0.551534 0.723834 0.455101
VERTEX_POINT L6 -0.343251 -0.423241 -0.592904 -0.721884
VERTEX_POINT L7 0.480877 -0.340716 0.587314 0.206218
VERTEX_POINT L8 -0.595574 -0.620498 0.096084 -0.015157
VERTEX_BEARING L0 L1 0.252318 0.605234 0.696468 -0.291480
VERTEX_BEARING L1 L2 -0.025563 0.277015 -0.744309 0.607135
VERTEX_BEARING L2 L3 -0.033048 0.280153 0.598963 0.749443
VERTEX_BEARING L3 L4 -0.378729 -0.471332 -0.327227 0.726177
VERTEX_BEARING L4 L5 0.560350 0.085711 -0.823795 -0.004904
VERTEX_BEARING L5 L6 -0.599221 -0.778381 -0.119871 0.143837
VERTEX_BEARING L6 L7 0.193520 -0.380459 0.728561 -0.535723
VERTEX_BEARING L7 L8 -0.602956 0.495596 0.550157 -0.296909
VERTEX_BEARING L1 L8 -0.173738 0.375940 0.534994 0.736386
VERTEX_BEARING L3 L6 0.397454 -0.823893 0.403724 -0.015415
VERTEX_BEARING L7 L2 0.304537 -0.680598 -0.663322 -0.063622
