VERTEX_POINT L0 0.244191 -0.469077 -0.727851 0.314240
VERTEX_POINT L1 0.673656 0.317493 -0.178424 0.618191
VERTEX_POINT L2 0.636255 0.523556 -0.989183 -0.736596
VERTEX_POINT L3 -0.007851 -0.025146 0.566564 -0.896983
VERTEX_POINT L4 -0.330057 -0.685456 0.548772 -0.893155
VERTEX_POINT L5 -0.211346 0.766073 -0.412644 -0.084569
VERTEX_POINT L6 0.317662 0.251331 -0.770664 0.561737
VERTEX_POINT L7 0.217766 0.035429 0.731070 0.384153
VERTEX_POINT L8 -0.482188 -0.584313 0.442012 -0.114880
VERTEX_BEARING L0 L1 0.508289 -0.524278 0.086526 -0.677708
VERTEX_BEARING L1 L2 0.456761 -0.870648 -0.150318 -0.103664
VERTEX_BEARING L2 L3 -0.414451 -0.505070 0.424944 0.626544
VERTEX_BEARING L3 L4 -0.709990 0.375909 -0.269690 0.530918
VERTEX_BEARING L4 L5 -0.003602 -0.333218 -0.624587 -0.706288
VERTEX_BEARING L5 L6 -0.808900 -0.452205 -0.371593 -0.055756
VERTEX_BEARING L6 L7 -0.615667 -0.286957 0.390338 0.621487
VERTEX_BEARING L7 L8 -0.229195 -0.671456 0.227712 -0.666906
VERTEX_BEARING L1 L8 -0.266733 -0.110644 0.738180 -0.609674
VERTEX_BEARING L3 L6 0.670272 0.674306 -0.251036 -0.181737
VERTEX_BEARING L7 L2 0.670462 0.137167 0.652531 -0.325374
