VERTEX_POINT L0 0.051494 0.556515 -0.970841 -0.198582
VERTEX_POINT L1 0.237851 0.251928 -0.239571 -0.275691
VERTEX_POINT L2 0.192392 0.672207 -0.235666 0.437734
VERTEX_POINT L3 -0.532688 -0.383687 -0.389184 0.603793
VERTEX_POINT L4 0.659617 -0.557981 0.474815 0.355625
VERTEX_POINT L5 -0.859820 -0.603959 -0.479110 -0.694248
VERTEX_POINT L6 -0.802325 0.224884 0.299318 -0.934215
VERTEX_POINT L7 0.847456 -0.780535 0.104633 -0.872879
VERTEX_POINT L8 -0.660701 0.349210 0.839182 0.371444
VERTEX_BEARING L0 L1 -0.747455 -0.035846 0.553911 0.364979
VERTEX_BEARING L1 L2 0.187921 -0.575502 0.460096 0.649457
VERTEX_BEARING L2 L3 0.159883 0.664398 -0.609253 0.402272
VERTEX_BEARING L3 L4 0.099790 -0.698118 -0.329790 -0.627623
VERTEX_BEARING L4 L5 0.326593 -0.490711 -0.633433 0.501301
VERTEX_BEARING L5 L6 -0.215506 0.590377 -0.102993 -0.770977
VERTEX_BEARING L6 L7 -0.530683 -0.422316 -0.729409 0.089371
VERTEX_BEARING L7 L8 0.629269 0.509777 -0.184952 0.556724
VERTEX_BEARING L1 L8 -0.115662 0.786117 0.162246 0.585079
VERTEX_BEARING L3 L6 -0.484936 -0.680997 -0.507108 0.209573
VERTEX_BEARING L7 L2 0.402629 -0.889919 0.203271 0.067937
