VERTEX_POINT L0 -0.356599 0.376495 -0.837014 0.000564
VERTEX_POINT L1 0.532783 0.591797 -0.472802 0.000499
VERTEX_POINT L2 -0.208697 -0.492151 -0.591968 0.000000
VERTEX_POINT L3 0.634637 -0.345919 -0.060618 0.000000
VERTEX_POINT L4 0.451329 -0.606604 0.270729 11570710951266559654221816909536837103320560618542767536333245212547330534592979184179545333037093867999064857042563195643036703289582222080082027022413795105127733919261950220961002846729384650226321813693140041728.000000
VERTEX_POINT L5 -0.047095 -0.578166 0.808241 178879621810238913128094047228647726508651629328075602062644129003187629735425741312064382185220474978097578195409197926597267919812980727190147920515422490722304.000000
VERTEX_POINT L6 -0.476568 0.264775 -0.837921 4929769663206434556756106719243555299427331264920697598914398212614809753906777867120299571615017338617576122701945747643448804104216760760224974570994337550469578604739210972496564047081459696452671373312.000000
VERTEX_POINT L7 0.702246 -0.509044 0.179597 254736390291291889030922121258850660424501441023379822259963935954914725725432940630493166131664627692932379993406330093364458701043890969258665463427181890508822414413552810983424.000000
VERTEX_POINT L8 -0.541885 -0.535653 -0.616163 0.000000
VERTEX_BEARING L0 L1 0.174634 -0.356599 0.376495 -0.837014
VERTEX_BEARING L1 L2 0.377329 0.532783 0.591797 -0.472802
VERTEX_BEARING L2 L3 0.603163 -0.208697 -0.492151 -0.591968
VERTEX_BEARING L3 L4 0.688405 0.634637 -0.345919 -0.060618
VERTEX_BEARING L4 L5 -0.595852 0.451329 -0.606604 0.270729
VERTEX_BEARING L5 L6 -0.101256 -0.047095 -0.578166 0.808241
VERTEX_BEARING L6 L7 -0.025778 -0.476568 0.264775 -0.837921
VERTEX_BEARING L7 L8 0.464187 0.702246 -0.509044 0.179597
VERTEX_BEARING L1 L8 0.199450 -0.541885 -0.535653 -0.616163
VERTEX_BEARING L3 L6 0.705175 0.553742 -0.412564 -0.160899
VERTEX_BEARING L7 L2 -0.596625 0.213254 0.773643 -0.006178
