VERTEX_POINT L0 0.688879 0.368947 -0.617760 0.000000
VERTEX_POINT L1 -0.650689 0.425069 -0.558498 0.000000
VERTEX_POINT L2 0.049866 0.420796 -0.725756 0.000000
VERTEX_POINT L3 -0.499774 0.304026 -0.427576 0.000000
VERTEX_POINT L4 0.283238 0.707585 -0.636933 -0.000000
VERTEX_POINT L5 0.472865 -0.442742 0.210930 -0.000000
VERTEX_POINT L6 -0.242513 0.355192 -0.621741 -0.000000
VERTEX_POINT L7 0.659226 -0.342134 0.659581 0.000000
VERTEX_POINT L8 0.227949 0.480676 0.692185 0.000000
VERTEX_BEARING L0 L1 -0.087727 0.688879 0.368947 -0.617760
VERTEX_BEARING L1 L2 -0.289829 -0.650689 0.425069 -0.558498
VERTEX_BEARING L2 L3 -0.541961 0.049866 0.420796 -0.725756
VERTEX_BEARING L3 L4 0.689183 -0.499774 0.304026 -0.427576
VERTEX_BEARING L4 L5 0.115830 0.283238 0.707585 -0.636933
VERTEX_BEARING L5 L6 -0.732043 0.472865 -0.442742 0.210930
VERTEX_BEARING L6 L7 -0.654571 -0.242513 0.355192 -0.621741
VERTEX_BEARING L7 L8 -0.115401 0.659226 -0.342134 0.659581
VERTEX_BEARING L1 L8 0.487719 0.227949 0.480676 0.692185
VERTEX_BEARING L3 L6 0.409359 -0.256098 -0.502342 -0.717281
VERTEX_BEARING L7 L2 -0.223723 -0.700738 0.141930 0.662397
