VERTEX_POINT L0 -0.575521 0.376826 0.722894 -0.000031
VERTEX_POINT L1 -0.462554 0.284666 0.691220 0.000000
VERTEX_POINT L2 0.678354 -0.287730 0.511680 0.000000
VERTEX_POINT L3 0.086153 -0.521264 -0.402885 0.000000
VERTEX_POINT L4 -0.867734 0.364771 0.301531 174.572720
VERTEX_POINT L5 0.929746 -0.360050 0.057808 174.572720
VERTEX_POINT L6 -0.267252 -0.500439 0.610044 174.572720
VERTEX_POINT L7 -0.466638 0.411017 -0.396082 48.519211
VERTEX_POINT L8 0.065556 -0.700757 -0.706214 48.519211
VERTEX_BEARING L0 L1 -0.064828 -0.575521 0.376826 0.722894
VERTEX_BEARING L1 L2 -0.476681 -0.462554 0.284666 0.691220
VERTEX_BEARING L2 L3 0.441849 0.678354 -0.287730 0.511680
VERTEX_BEARING L3 L4 -0.747359 0.086153 -0.521264 -0.402885
VERTEX_BEARING L4 L5 0.151852 -0.867734 0.364771 0.301531
VERTEX_BEARING L5 L6 -0.050946 0.929746 -0.360050 0.057808
VERTEX_BEARING L6 L7 0.553157 -0.267252 -0.500439 0.610044
VERTEX_BEARING L7 L8 0.675599 -0.466638 0.411017 -0.396082
VERTEX_BEARING L1 L8 0.076837 0.065556 -0.700757 -0.706214
VERTEX_BEARING L3 L6 0.170617 -0.205393 0.380800 -0.885266
VERTEX_BEARING L7 L2 0.402949 -0.338719 -0.849860 0.025263
