VERTEX_POINT L0 -0.016913 -0.551478 -0.654227 0.000564
VERTEX_POINT L1 -0.582127 -0.717115 0.220953 0.000499
VERTEX_POINT L2 0.547072 0.555196 0.621148 0.000000
VERTEX_POINT L3 0.607712 0.211162 0.462651 0.000000
VERTEX_POINT L4 0.009946 -0.546497 0.567209 11570710951266559654221816909536837103320560618542767536333245212547330534592979184179545333037093867999064857042563195643036703289582222080082027022413795105127733919261950220961002846729384650226321813693140041728.000000
VERTEX_POINT L5 -0.049432 0.701406 -0.613314 178879621810238913128094047228647726508651629328075602062644129003187629735425741312064382185220474978097578195409197926597267919812980727190147920515422490722304.000000
VERTEX_POINT L6 -0.650773 0.567026 0.443849 4929769663206434556756106719243555299427331264920697598914398212614809753906777867120299571615017338617576122701945747643448804104216760760224974570994337550469578604739210972496564047081459696452671373312.000000
VERTEX_POINT L7 -0.473506 -0.511644 0.684072 254736390291291889030922121258850660424501441023379822259963935954914725725432940630493166131664627692932379993406330093364458701043890969258665463427181890508822414413552810983424.000000
VERTEX_POINT L8 -0.026967 -0.039667 -0.657229 0.000000
VERTEX_BEARING L0 L1 0.517274 -0.016913 -0.551478 -0.654227
VERTEX_BEARING L1 L2 0.313137 -0.582127 -0.717115 0.220953
VERTEX_BEARING L2 L3 0.081518 0.547072 0.555196 0.621148
VERTEX_BEARING L3 L4 0.609960 0.607712 0.211162 0.462651
VERTEX_BEARING L4 L5 0.616048 0.009946 -0.546497 0.567209
VERTEX_BEARING L5 L6 0.359767 -0.049432 0.701406 -0.613314
VERTEX_BEARING L6 L7 -0.240780 -0.650773 0.567026 0.443849
VERTEX_BEARING L7 L8 -0.214610 -0.473506 -0.511644 0.684072
VERTEX_BEARING L1 L8 -0.752163 -0.026967 -0.039667 -0.657229
VERTEX_BEARING L3 L6 -0.658498 0.585536 0.355821 -0.311318
VERTEX_BEARING L7 L2 -0.639797 -0.590262 0.358736 -0.336985
