VERTEX_POINT L0 -0.317291 0.853152 0.208758 -0.020380 -0.851479
VERTEX_POINT L1 0.334681 0.102886 -0.058872 0.020698 0.281533
VERTEX_POINT L2 0.758019 0.866840 -0.666091 -0.903001 0.194560
VERTEX_POINT L3 0.306610 -0.011186 0.590981 0.628703 -0.554795
VERTEX_POINT L4 -0.373541 0.105137 0.730171 -0.230683 -0.560424
VERTEX_POINT L5 0.770028 0.878258 0.746043 0.275313 0.260486
VERTEX_POINT L6 -0.627470 0.599291 0.328829 -0.095755 0.847025
VERTEX_POINT L7 -0.685722 0.628277 -0.175035 -0.712036 0.475877
VERTEX_POINT L8 0.006922 0.188995 0.223961 -0.173844 -0.074296
VERTEX_BEARING L0 L1 -0.566669 0.596734 0.285165 0.175776 -0.458887
VERTEX_BEARING L1 L2 0.210218 0.310409 0.875274 0.257301 -0.164758
VERTEX_BEARING L2 L3 0.252802 0.510108 0.550094 0.048663 -0.609024
VERTEX_BEARING L3 L4 0.123470 -0.562256 -0.319380 -0.640108 0.396082
VERTEX_BEARING L4 L5 -0.777418 -0.164372 0.583302 0.123143 0.114883
VERTEX_BEARING L5 L6 -0.632463 0.263670 0.114079 -0.597590 0.400427
VERTEX_BEARING L6 L7 -0.397373 0.752720 0.281096 0.409920 0.168697
VERTEX_BEARING L7 L8 -0.662535 0.131704 0.720594 0.050436 -0.147989
VERTEX_BEARING L1 L8 0.299986 0.461385 0.531786 0.642204 -0.043711
VERTEX_BEARING L3 L6 0.444425 0.537559 0.366560 0.018705 0.615468
VERTEX_BEARING L7 L2 -0.420867 -0.352283 -0.313124 -0.511304 -0.582485
