VERTEX_POINT L0 0.734586 -0.459842 0.300193 0.389739 0.000000
VERTEX_POINT L1 -0.469044 0.545685 0.619173 -0.126148 11570710951266559654221816909536837103320560618542767536333245212547330534592979184179545333037093867999064857042563195643036703289582222080082027022413795105127733919261950220961002846729384650226321813693140041728.000000
VERTEX_POINT L2 -0.534453 -0.804193 0.043340 0.238568 178879621810238913128094047228647726508651629328075602062644129003187629735425741312064382185220474978097578195409197926597267919812980727190147920515422490722304.000000
VERTEX_POINT L3 -0.582435 0.333133 -0.131636 -0.590601 4929769663206434556756106719243555299427331264920697598914398212614809753906777867120299571615017338617576122701945747643448804104216760760224974570994337550469578604739210972496564047081459696452671373312.000000
VERTEX_POINT L4 0.181767 0.050410 0.666343 0.416767 254736390291291889030922121258850660424501441023379822259963935954914725725432940630493166131664627692932379993406330093364458701043890969258665463427181890508822414413552810983424.000000
VERTEX_POINT L5 -0.646265 -0.316020 0.098299 -0.332665 0.000000
VERTEX_POINT L6 -0.427012 -0.057951 -0.186641 0.209933 20501866451337168053189560792064226319547775958351486434605468436284037989645490279678039395484825527040722291151541508450190370438103211413438508882310610343659748866787619270098045783142774385055450559223531831296.000000
VERTEX_POINT L7 0.282809 -0.490163 0.256844 -0.524341 87448878295080596876690091815089403641101921114903897102555786200525060442606922635469496565709915235615238255840576451803286016994688553384168811623942986853043814660660711624458207432167742177804288.000000
VERTEX_POINT L8 0.050539 -0.486659 0.105931 -0.618454 0.000000
VERTEX_BEARING L0 L1 -0.083170 0.734586 -0.459842 0.300193 0.389739
VERTEX_BEARING L1 L2 -0.287988 -0.469044 0.545685 0.619173 -0.126148
VERTEX_BEARING L2 L3 0.094020 -0.534453 -0.804193 0.043340 0.238568
VERTEX_BEARING L3 L4 0.428549 -0.582435 0.333133 -0.131636 -0.590601
VERTEX_BEARING L4 L5 -0.588823 0.181767 0.050410 0.666343 0.416767
VERTEX_BEARING L5 L6 0.601784 -0.646265 -0.316020 0.098299 -0.332665
VERTEX_BEARING L6 L7 -0.857552 -0.427012 -0.057951 -0.186641 0.209933
VERTEX_BEARING L7 L8 -0.582113 0.282809 -0.490163 0.256844 -0.524341
VERTEX_BEARING L1 L8 -0.605725 0.050539 -0.486659 0.105931 -0.618454
VERTEX_BEARING L3 L6 0.369375 -0.405686 0.692490 -0.148178 0.444390
VERTEX_BEARING L7 L2 -0.611282 0.197935 -0.054775 -0.654905 0.394024
