VERTEX_POINT L0 -0.067663 0.833045 0.541372 0.246389 -0.858886
VERTEX_POINT L1 0.768636 -0.578617 0.774394 0.437333 -0.212508
VERTEX_POINT L2 0.934554 0.213084 0.866545 0.849079 -0.007138
VERTEX_POINT L3 -0.632469 0.730867 -0.653871 -0.631868 -0.126830
VERTEX_POINT L4 -0.083922 -0.780445 -0.104037 -0.435432 -0.413645
VERTEX_POINT L5 0.560448 -0.252888 -0.024559 -0.665669 -0.511863
VERTEX_POINT L6 0.532895 -0.601995 0.590463 -0.594046 0.824781
VERTEX_POINT L7 0.809563 0.293040 0.278018 0.252250 0.132329
VERTEX_POINT L8 -0.484829 0.185384 0.931363 -0.647522 -0.618582
VERTEX_BEARING L0 L1 -0.102176 0.435082 0.293623 -0.573202 -0.620878
VERTEX_BEARING L1 L2 0.514594 0.680337 0.141410 -0.303999 -0.399902
VERTEX_BEARING L2 L3 0.514653 -0.191183 -0.501552 0.434546 0.508130
VERTEX_BEARING L3 L4 0.655480 -0.142542 0.088882 -0.195620 -0.709831
VERTEX_BEARING L4 L5 0.600556 0.091470 0.095733 0.601075 -0.510401
VERTEX_BEARING L5 L6 0.453783 0.092533 -0.437401 0.420854 -0.645818
VERTEX_BEARING L6 L7 -0.316731 0.232493 -0.915552 -0.046044 -0.072607
VERTEX_BEARING L7 L8 0.083248 -0.700044 -0.353811 -0.514347 0.336561
VERTEX_BEARING L1 L8 -0.337564 -0.026488 -0.590034 0.536808 0.499045
VERTEX_BEARING L3 L6 -0.031698 -0.197537 0.598269 -0.533290 -0.563605
VERTEX_BEARING L7 L2 0.726772 0.248623 0.163874 0.590825 0.184555
