VERTEX_POINT L0 -0.344768 -0.727659 0.267170 0.690246 -0.952274
VERTEX_POINT L1 0.778687 0.178237 0.076351 0.704822 -0.989848
VERTEX_POINT L2 0.293424 -0.883895 -0.966699 0.201525 -0.025492
VERTEX_POINT L3 -0.317035 0.779106 0.863036 -0.357045 -0.414229
VERTEX_POINT L4 -0.899664 0.891003 -0.304908 0.335920 0.416525
VERTEX_POINT L5 0.533402 -0.887956 -0.588572 0.053660 0.640292
VERTEX_POINT L6 0.606660 0.850439 0.045257 0.696000 0.014819
VERTEX_POINT L7 0.397426 -0.061900 -0.198029 -0.499579 -0.065058
VERTEX_POINT L8 0.363843 -0.486062 -0.385663 -0.487544 -0.843484
VERTEX_BEARING L0 L1 -0.599720 0.520970 0.112152 0.231884 -0.550071
VERTEX_BEARING L1 L2 -0.165024 -0.452921 -0.801830 0.351406 0.034823
VERTEX_BEARING L2 L3 0.550963 0.443150 0.148464 -0.099451 0.684198
VERTEX_BEARING L3 L4 0.612107 -0.488141 -0.057121 -0.557982 0.269140
VERTEX_BEARING L4 L5 -0.282661 0.608890 0.621050 0.399903 0.061077
VERTEX_BEARING L5 L6 0.614185 -0.383502 0.525502 -0.206107 0.396322
VERTEX_BEARING L6 L7 -0.645938 0.126745 0.036896 -0.397128 0.638458
VERTEX_BEARING L7 L8 0.040994 -0.777393 0.143185 0.451242 0.412140
VERTEX_BEARING L1 L8 -0.482750 -0.643357 0.370308 -0.390471 -0.251890
VERTEX_BEARING L3 L6 0.309966 -0.656605 -0.526403 0.351698 -0.268328
VERTEX_BEARING L7 L2 0.257263 -0.329456 -0.303673 -0.623011 -0.587294
