VERTEX_POINT L0 -0.667812 0.875428 -0.578274 0.560501 -0.556548
VERTEX_POINT L1 -0.048105 0.521724 0.336651 0.571865 0.578487
VERTEX_POINT L2 0.514564 -0.806637 0.057770 0.369354 -0.251598
VERTEX_POINT L3 0.555010 0.962217 -0.375313 0.820453 -0.236225
VERTEX_POINT L4 -0.986040 0.690546 0.886444 0.734395 -0.805019
VERTEX_POINT L5 0.157225 -0.316921 0.536411 -0.874652 0.615919
VERTEX_POINT L6 0.472924 0.384927 -0.755828 -0.905635 -0.225355
VERTEX_POINT L7 0.487454 -0.086972 -0.923470 0.054150 0.494554
VERTEX_POINT L8 0.845144 -0.131204 0.029872 -0.645734 0.868362
VERTEX_BEARING L0 L1 -0.448219 -0.585404 0.223414 -0.146063 0.620607
VERTEX_BEARING L1 L2 -0.027653 0.486446 -0.297670 -0.487785 -0.660351
VERTEX_BEARING L2 L3 0.666563 0.702859 0.158213 -0.074547 -0.176337
VERTEX_BEARING L3 L4 -0.575741 -0.502500 -0.466569 -0.428507 0.121289
VERTEX_BEARING L4 L5 -0.616346 -0.333844 -0.621012 -0.284383 0.205270
VERTEX_BEARING L5 L6 -0.581583 -0.594206 -0.278100 -0.150994 0.456664
VERTEX_BEARING L6 L7 0.293503 0.430132 -0.504150 -0.686790 0.054732
VERTEX_BEARING L7 L8 0.230415 -0.838792 0.331156 0.310254 -0.193429
VERTEX_BEARING L1 L8 -0.517509 0.313613 -0.490052 -0.475101 0.409828
VERTEX_BEARING L3 L6 0.716421 -0.345799 0.590880 -0.059061 0.120569
VERTEX_BEARING L7 L2 0.474728 -0.422059 0.106516 -0.537186 0.544596
