VERTEX_POINT L0 0.199413 0.013829 -0.846493 -0.863530 -0.630845
VERTEX_POINT L1 -0.721998 0.556925 0.760017 0.803097 -0.994344
VERTEX_POINT L2 -0.712117 0.872698 -0.654556 -0.135602 0.801544
VERTEX_POINT L3 -0.608204 -0.715763 -0.642027 0.762463 -0.422497
VERTEX_POINT L4 0.554820 -0.410797 -0.280428 0.349699 0.617234
VERTEX_POINT L5 0.688562 0.122015 -0.113915 -0.078697 0.300981
VERTEX_POINT L6 0.470623 0.289040 -0.242579 -0.056722 0.375054
VERTEX_POINT L7 -0.631949 0.746828 0.295044 -0.415137 -0.649174
VERTEX_POINT L8 0.333414 -0.534304 -0.798629 -0.551169 -0.910541
VERTEX_BEARING L0 L1 0.657606 -0.352102 0.327599 -0.328149 -0.478095
VERTEX_BEARING L1 L2 0.508713 -0.605344 0.198535 0.567000 0.117748
VERTEX_BEARING L2 L3 0.358100 0.648682 0.555366 0.179692 -0.332048
VERTEX_BEARING L3 L4 0.178931 -0.526412 0.414226 -0.523843 -0.494853
VERTEX_BEARING L4 L5 0.033572 -0.042068 0.568524 0.636106 0.518895
VERTEX_BEARING L5 L6 0.209694 -0.386356 -0.793214 0.420065 -0.033381
VERTEX_BEARING L6 L7 0.007280 -0.910383 0.274098 -0.306894 -0.042852
VERTEX_BEARING L7 L8 0.187119 -0.503962 0.279167 -0.316256 -0.730108
VERTEX_BEARING L1 L8 0.334494 0.306858 0.513425 -0.205868 0.698545
VERTEX_BEARING L3 L6 -0.569415 0.540949 0.332111 -0.275690 -0.443664
VERTEX_BEARING L7 L2 0.520201 -0.565194 -0.438425 0.202524 -0.420373
