VERTEX_POINT L0 -0.384769 -0.411489 0.760418 -0.279541 0.000000
VERTEX_POINT L1 0.711473 0.002863 -0.055542 -0.448823 0.000000
VERTEX_POINT L2 -0.552321 0.328973 0.488536 -0.194441 0.000000
VERTEX_POINT L3 -0.407161 -0.628397 -0.421550 0.362210 0.999149
VERTEX_POINT L4 -0.397782 0.236099 -0.275050 -0.582652 0.000000
VERTEX_POINT L5 -0.255037 0.217893 -0.302727 -0.887912 0.000000
VERTEX_POINT L6 0.598123 0.277559 0.197618 -0.508789 -0.000000
VERTEX_POINT L7 0.301351 0.047409 -0.749366 0.577711 0.000000
VERTEX_POINT L8 -0.270022 0.803380 -0.521166 0.062084 0.000000
VERTEX_BEARING L0 L1 0.162024 -0.384769 -0.411489 0.760418 -0.279541
VERTEX_BEARING L1 L2 -0.537840 0.711473 0.002863 -0.055542 -0.448823
VERTEX_BEARING L2 L3 0.556995 -0.552321 0.328973 0.488536 -0.194441
VERTEX_BEARING L3 L4 -0.361160 -0.407161 -0.628397 -0.421550 0.362210
VERTEX_BEARING L4 L5 -0.609008 -0.397782 0.236099 -0.275050 -0.582652
VERTEX_BEARING L5 L6 -0.086302 -0.255037 0.217893 -0.302727 -0.887912
VERTEX_BEARING L6 L7 0.517001 0.598123 0.277559 0.197618 -0.508789
VERTEX_BEARING L7 L8 0.107892 0.301351 0.047409 -0.749366 0.577711
VERTEX_BEARING L1 L8 -0.078743 -0.270022 0.803380 -0.521166 0.062084
VERTEX_BEARING L3 L6 0.541565 0.175284 -0.392462 -0.721566 0.036039
VERTEX_BEARING L7 L2 0.652642 0.027716 0.279409 -0.576741 -0.403224
