VERTEX_POINT L0 0.525321 0.651011 0.046515 0.392057 0.000000
VERTEX_POINT L1 0.327901 0.359875 0.197277 -0.845285 0.000000
VERTEX_POINT L2 -0.353933 0.218973 -0.606663 0.311082 0.000000
VERTEX_POINT L3 -0.338585 0.575642 0.535174 -0.317429 0.000000
VERTEX_POINT L4 -0.444886 0.598616 -0.353201 0.194619 0.000000
VERTEX_POINT L5 -0.099311 -0.212445 0.147260 -0.947568 0.166001
VERTEX_POINT L6 -0.068638 0.025546 -0.751030 0.524844 -0.122402
VERTEX_POINT L7 -0.502676 -0.452080 0.731269 -0.068632 -0.148571
VERTEX_POINT L8 0.196951 0.311020 0.040335 0.051729 -0.318788
VERTEX_BEARING L0 L1 -0.379935 0.525321 0.651011 0.046515 0.392057
VERTEX_BEARING L1 L2 0.097700 0.327901 0.359875 0.197277 -0.845285
VERTEX_BEARING L2 L3 0.601640 -0.353933 0.218973 -0.606663 0.311082
VERTEX_BEARING L3 L4 0.408441 -0.338585 0.575642 0.535174 -0.317429
VERTEX_BEARING L4 L5 -0.530196 -0.444886 0.598616 -0.353201 0.194619
VERTEX_BEARING L5 L6 -0.159481 -0.099311 -0.212445 0.147260 -0.947568
VERTEX_BEARING L6 L7 0.393864 -0.068638 0.025546 -0.751030 0.524844
VERTEX_BEARING L7 L8 -0.058945 -0.502676 -0.452080 0.731269 -0.068632
VERTEX_BEARING L1 L8 -0.927456 0.196951 0.311020 0.040335 0.051729
VERTEX_BEARING L3 L6 -0.053620 0.551386 0.352269 0.622041 0.426697
VERTEX_BEARING L7 L2 0.642177 0.021611 0.530041 -0.105813 -0.543141
