VERTEX_POINT L0 -0.409147 0.510261 0.577724 0.123784 0.000000
VERTEX_POINT L1 0.304485 -0.303023 -0.659351 -0.397978 0.000000
VERTEX_POINT L2 0.548457 -0.147699 -0.623685 -0.081411 0.000000
VERTEX_POINT L3 0.470788 0.599901 -0.563566 -0.303700 0.999149
VERTEX_POINT L4 0.431833 -0.698221 -0.374714 0.142531 0.000000
VERTEX_POINT L5 0.284407 0.444638 -0.587187 -0.526091 -0.000000
VERTEX_POINT L6 -0.435028 -0.246537 -0.522262 -0.071339 -0.000000
VERTEX_POINT L7 0.177841 0.528376 -0.567749 0.199341 0.000000
VERTEX_POINT L8 -0.426778 0.594097 0.182069 0.450241 -0.000000
VERTEX_BEARING L0 L1 -0.472382 -0.409147 0.510261 0.577724 0.123784
VERTEX_BEARING L1 L2 0.471525 0.304485 -0.303023 -0.659351 -0.397978
VERTEX_BEARING L2 L3 0.530820 0.548457 -0.147699 -0.623685 -0.081411
VERTEX_BEARING L3 L4 0.092940 0.470788 0.599901 -0.563566 -0.303700
VERTEX_BEARING L4 L5 -0.406549 0.431833 -0.698221 -0.374714 0.142531
VERTEX_BEARING L5 L6 -0.315991 0.284407 0.444638 -0.587187 -0.526091
VERTEX_BEARING L6 L7 -0.687112 -0.435028 -0.246537 -0.522262 -0.071339
VERTEX_BEARING L7 L8 -0.571940 0.177841 0.528376 -0.567749 0.199341
VERTEX_BEARING L1 L8 -0.478585 -0.426778 0.594097 0.182069 0.450241
VERTEX_BEARING L3 L6 0.451769 -0.814722 0.113881 -0.042003 -0.342637
VERTEX_BEARING L7 L2 0.178939 0.439246 0.322099 0.329177 0.750292
