VERTEX_POINT L0 0.455748 0.418677 0.012899 0.657654 0.000000
VERTEX_POINT L1 -0.451782 -0.191164 -0.584421 0.517242 -2.369241
VERTEX_POINT L2 0.100948 0.362424 0.668232 0.264303 0.000000
VERTEX_POINT L3 0.500121 0.544750 0.113195 -0.020554 0.000000
VERTEX_POINT L4 -0.167358 0.601225 -0.713976 -0.273664 0.000000
VERTEX_POINT L5 0.156076 -0.166736 -0.679683 0.092185 7.771741
VERTEX_POINT L6 -0.089883 0.334793 -0.283244 0.522014 0.554089
VERTEX_POINT L7 0.517836 -0.470361 -0.514353 -0.144721 -5.012657
VERTEX_POINT L8 -0.419624 -0.268827 -0.393652 0.483830 -2.603594
VERTEX_BEARING L0 L1 -0.429335 0.455748 0.418677 0.012899 0.657654
VERTEX_BEARING L1 L2 -0.387636 -0.451782 -0.191164 -0.584421 0.517242
VERTEX_BEARING L2 L3 -0.584866 0.100948 0.362424 0.668232 0.264303
VERTEX_BEARING L3 L4 -0.663242 0.500121 0.544750 0.113195 -0.020554
VERTEX_BEARING L4 L5 0.160829 -0.167358 0.601225 -0.713976 -0.273664
VERTEX_BEARING L5 L6 -0.690921 0.156076 -0.166736 -0.679683 0.092185
VERTEX_BEARING L6 L7 -0.726023 -0.089883 0.334793 -0.283244 0.522014
VERTEX_BEARING L7 L8 -0.474451 0.517836 -0.470361 -0.514353 -0.144721
VERTEX_BEARING L1 L8 0.602158 -0.419624 -0.268827 -0.393652 0.483830
VERTEX_BEARING L3 L6 0.545504 -0.517579 0.489144 -0.438738 0.052774
VERTEX_BEARING L7 L2 -0.431086 -0.606228 -0.282679 -0.430759 0.425667
