Dataset,Ours(Red)_time,Original_time,Orig+VP_time,GTSAM_time,Ours(Red)_iters,Original_iters,Orig+VP_iters,GTSAM_iters,speedup_Orig_over_Ours,speedup_OrigVP_over_Ours,speedup_GTSAM_over_Ours
Tum Desk,,,,,,,,,,,
Mipnerf Garden,,,,,,,,,,,
Imc Gate,,,,,,,,,,,
Imc Temple,,,,,,,,,,,
Imc Rome,,,,,,,,,,,
Replica Repoffice0 100,,7.16,,,,189,,,,,
Replica Repoffice1 100,,4.31,,,,228,,,,,
Replica Reproom0 100,,,,,,,,,,,
Replica Reproom1 100,,12.54,,,,243,,,,,
Tum Room,,,,,,,,,,,
Mipnerf Room,,,,,,,,,,,
Tum Computer R,,,,,,,,,,,
Tum Computer T,,,,,,,,,,,
Bal 93,,2.48,,,,238,,,,,
Bal 392,,,,,,,,,,,
Bal 1934,,,,,,,,,,,
Replica Repoffice1 100,,4.31,,,,228,,,,,
Mipnerf Kitchen,,,,,,,,,,,
